id,vorname,nachname,geschlecht,rat,partei,parteiZuordnung,farbe,kanton,infocube_url,infocube_id
48,Thomas,de Courten,m,NR,SVP,SVP,#428953,BL,https://infocube.ch/de/p/651505/meier-markus,651505
49,Fathi,Derder,m,NR,PLR.Les Libéraux-Radicaux,FDP,#5675D6,VD,https://infocube.ch/de/p/7092939/schaller-arnaud,7092939
50,Verena,Diener,w,SR,glp,GLP,#77E599,ZH,0,0
51,Roland,Eberle,m,SR,SVP,SVP,#428953,TG,0,0
52,Joachim,Eder,m,SR,FDP.Die Liberalen,FDP,#5675D6,ZG,,
53,Christine,Egerszegi-Obrist,w,SR,FDP.Die Liberalen,FDP,#5675D6,AG,,
54,Hans,Egloff,m,NR,SVP,SVP,#428953,ZH,https://infocube.ch/de/p/1192206/gmuer-ansgar,1192206
55,Corina,Eichenberger-Walther,w,NR,FDP.Die Liberalen,FDP,#5675D6,AG,https://infocube.ch/de/p/224973/heller-daniel,224973
56,Stefan,Engler,m,SR,CVP,CVP,#FF8B07,GR,,
57,Yvette,Estermann,w,NR,SVP,SVP,#428953,LU,https://infocube.ch/de/p/152168/estermann-richard-f,152168
58,Daniel,Fässler,m,NR,CVP,CVP,#FF8B07,AI,0,0
59,Laurent,Favre,m,NR,PLR.Les Libéraux-Radicaux,FDP,#5675D6,NE,https://infocube.ch/de/p/6465912/fuerer-guido,6465912
60,Hans,Fehr,m,NR,SVP,SVP,#428953,ZH,Zu ungenau,
62,Jacqueline,Fehr,w,NR,SP,SP,#CE2929,ZH,Zu ungenau,
63,Olivier,Feller,m,NR,PLR.Les Libéraux-Radicaux,FDP,#5675D6,VD,0,0
64,Yvonne,Feri,w,NR,SP,SP,#CE2929,AG,,
65,Anita,Fetz,w,SR,SP,SP,#CE2929,BS,0,0
66,Doris,Fiala,w,NR,FDP,FDP,#5675D6,ZH,0,
67,Roland,Fischer,m,NR,glp,GLP,#77E599,LU,https://infocube.ch/de/p/6749204/graber-michele/politische-aktivitaeten,6749204
68,Beat,Flach,m,NR,glp,GLP,#77E599,AG,http://infocube.ch/de/p/858208/schuhmacher-peter,858208
69,Sylvia,Flückiger-Bäni,w,NR,SVP,SVP,#428953,AG,http://infocube.ch/de/p/6527757/schneider-henrique,6527757
70,Kurt,Fluri,m,NR,FDP.Die Liberalen,FDP,#5675D6,SO,,
71,Peter,Föhn,m,SR,SVP,SVP,#428953,SZ,http://infocube.ch/de/p/5530653/foehn-marco,5530653
72,Jean-René,Fournier,m,SR,CVP,CVP,#FF8B07,VS,https://infocube.ch/de/p/p27003254264/bertelletto-duc-xavier,p27003254264
73,Olivier,Français,m,NR,PLR.Les Libéraux-Radicaux,FDP,#5675D6,VD,,
74,Sebastian,Frehner,m,NR,SVP,SVP,#428953,BS,,
76,Oskar,Freysinger,m,NR,UDC,SVP,#428953,VS,,
77,Pierre-Alain,Fridez,m,NR,PSS,SP,#CE2929,JU,0,0
78,Claudia,Friedl,w,NR,SP,SP,#CE2929,SG,0,0
79,Chantal,Galladé,w,NR,SP,SP,#CE2929,ZH,0,0
80,Urs,Gasche,m,NR,BDP,BDP,#D0B100,BE,http://infocube.ch/de/p/4243104/de-weck-roger-francois-philippe,4243104
81,Josias F.,Gasser,m,NR,glp,GLP,#77E599,GR,0,0
82,Andrea Martina,Geissbühler,w,NR,SVP,SVP,#428953,BE,,
83,Jean-René,Germanier,m,NR,PLR.Les Libéraux-Radicaux,FDP,#5675D6,VS,http://infocube.ch/de/p/4860527/schlaepfer-martin,4860527
84,Hannes,Germann,m,SR,SVP,SVP,#428953,SH,0,0
85,Ulrich,Giezendanner,m,NR,SVP,SVP,#428953,AG,http://infocube.ch/de/p/869641/gehrken-michael,869641
86,Yvonne,Gilli,w,NR,GP,GP,#A3DD57,SG,http://infocube.ch/de/p/33090/alther-rudolf,33090
87,Bastien,Girod,m,NR,GP,GP,#A3DD57,ZH,,
88,Ida,Glanzmann-Hunkeler,w,NR,CVP,CVP,#FF8B07,LU,,
89,Balthasar,Glättli,m,NR,GP,GP,#A3DD57,ZH,,
90,Alois,Gmür,m,NR,CVP,CVP,#FF8B07,SZ,,
91,Petra,Gössi,w,NR,FDP.Die Liberalen,FDP,#5675D6,SZ,0,0
92,Konrad,Graber,m,SR,CVP,CVP,#FF8B07,LU,0,0
